0.0	0.014972
0.00025	0.014444
0.0005	0.014915
0.00075	0.015387
0.001	0.014859
0.00125	0.014331
0.0015	0.015803
0.00175	0.017275
0.002	0.017746
0.00225	0.020218
0.0025	0.02069
0.00275	0.025162
0.003	0.026634
0.00325	0.027106
0.0035	0.029577
0.00375	0.034049
0.004	0.037521
0.00425	0.042993
0.0045	0.046465
0.00475	0.050937
0.005	0.055408
0.00525	0.06188
0.0055	0.065352
0.00575	0.070824
0.006	0.077296
0.00625	0.082768
0.0065	0.091239
0.00675	0.100711
0.007	0.112183
0.00725	0.124655
0.0075	0.138127
0.00775	0.154599
0.008	0.17207
0.00825	0.193542
0.0085	0.215014
0.00875	0.237486
0.009	0.262958
0.00925	0.28643
0.0095	0.312901
0.00975	0.335373
0.01	0.357845
0.01025	0.377317
0.0105	0.391789
0.01075	0.401261
0.011	0.403732
0.01125	0.394204
0.0115	0.371676
0.01175	0.340148
0.012	0.30462
0.01225	0.270092
0.0125	0.235563
0.01275	0.204035
0.013	0.175507
0.01325	0.147979
0.0135	0.125451
0.01375	0.104923
0.014	0.087394
0.01425	0.073866
0.0145	0.062338
0.01475	0.05281
0.015	0.046282
0.01525	0.039754
0.0155	0.034225
0.01575	0.029697
0.016	0.025169
0.01625	0.020641
0.0165	0.016113
0.01675	0.007585
0.017	0.006056
0.01725	0.003528
0.0175	0.0
0.01775	0.001472
